"Type of data";"Periods";"Expenditure approach to GDP/Disposable for final expenditure/Total (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Gross domestic product (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Total (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Imports of goods (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Imports of services (million euros)";"Expenditure approach to GDP/Final expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/Households including NPISHs (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/General government (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/Enterprises and households (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/General government (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Changes in inventories incl. valuables (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Total (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Exports of goods (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Exports of services (million euros)"
"Prices of 2015";"2013 3rd quarter";"  272487";"  163746";"  108997";"   77552";"   31428";"  272487";"  147290";"  118040";"   76812";"   41227";"   28287";"   22102";"    6180";"     973";"  125363";"   94743";"   30498"
"Prices of 2015";"2013 4th quarter";"  286421";"  172121";"  114576";"   81279";"   33420";"  286421";"  154123";"  120698";"   75774";"   44933";"   33820";"   27735";"    6084";"    -400";"  132516";"   99423";"   32991"
"Prices of 2015";"2013";" 1104276";"  667252";"  438482";"  317422";"  119755";" 1104276";"  596845";"  475187";"  303652";"  171532";"  121168";"   96839";"   24308";"     513";"  507990";"  386387";"  120995"
"Prices of 2015";"2014 1st quarter";"  273472";"  164429";"  109132";"   81188";"   27920";"  273472";"  144891";"  115954";"   74607";"   41345";"   28930";"   23170";"    5748";"     -69";"  128787";"   98427";"   30172"
"Prices of 2015";"2014 2nd quarter";"  284008";"  171484";"  113090";"   81499";"   30357";"  284008";"  152839";"  121202";"   76592";"   44605";"   30406";"   24371";"    6028";"    1078";"  130948";"   98313";"   32603"
"Prices of 2015";"2014 3rd quarter";"  278674";"  165622";"  113209";"   80597";"   32589";"  278674";"  146636";"  118645";"   77018";"   41623";"   26999";"   21078";"    5917";"    1001";"  132058";"   98114";"   33920"
"Prices of 2015";"2014 4th quarter";"  292234";"  175220";"  117271";"   84691";"   32571";"  292234";"  152952";"  121481";"   76573";"   44913";"   31723";"   25951";"    5770";"    -238";"  139316";"  103316";"   35971"
"Prices of 2015";"2014";" 1128353";"  676749";"  452806";"  327987";"  123449";" 1128353";"  597294";"  477282";"  304790";"  172488";"  118252";"   94770";"   23461";"    1773";"  531086";"  398173";"  132644"
"Prices of 2015";"2015 1st quarter";"  283088";"  167551";"  115537";"   85644";"   29893";"  283088";"  139620";"  117472";"   76060";"   41412";"   23396";"   17260";"    6136";"   -1248";"  143468";"  103396";"   40072"
"Prices of 2015";"2015 2nd quarter";"  326598";"  175063";"  151535";"   87447";"   64088";"  326598";"  187546";"  122638";"   78282";"   44356";"   63448";"   57225";"    6223";"    1460";"  139052";"  102993";"   36059"
"Prices of 2015";"2015 3rd quarter";"  292390";"  169692";"  122698";"   86968";"   35730";"  292390";"  152498";"  120461";"   78757";"   41704";"   30129";"   24119";"    6010";"    1908";"  139892";"  103096";"   36796"
"Prices of 2015";"2015 4th quarter";"  306526";"  177702";"  128824";"   92867";"   35957";"  306526";"  158585";"  122599";"   77717";"   44882";"   35560";"   29349";"    6211";"     426";"  147941";"  108888";"   39053"
"Prices of 2015";"2015";" 1208602";"  690008";"  518594";"  352926";"  165668";" 1208602";"  638249";"  483170";"  310816";"  172354";"  152533";"  127953";"   24580";"    2546";"  570353";"  418373";"  151980"
"Prices of 2015";"2016 1st quarter";"  292819";"  171133";"  121686";"   89746";"   31940";"  292819";"  151105";"  118649";"   76767";"   41882";"   34569";"   28561";"    6008";"   -2113";"  141714";"  107692";"   34022"
"Prices of 2015";"2016 2nd quarter";"  307614";"  179132";"  128482";"   94168";"   34314";"  307614";"  163040";"  123691";"   78681";"   45010";"   37303";"   31172";"    6131";"    2046";"  144574";"  108468";"   36106"
"Prices of 2015";"2016 3rd quarter";"  300289";"  173299";"  126990";"   91650";"   35340";"  300289";"  157463";"  121875";"   79669";"   42206";"   33181";"   26936";"    6245";"    2407";"  142826";"  107077";"   35749"
"Prices of 2015";"2016 4th quarter";"  312749";"  181567";"  131182";"   96512";"   34670";"  312749";"  161995";"  124761";"   79179";"   45582";"   36369";"   30006";"    6363";"     865";"  150754";"  113458";"   37296"
"Prices of 2015";"2016";" 1213471";"  705131";"  508340";"  372076";"  136264";" 1213471";"  633603";"  488976";"  314296";"  174680";"  141422";"  116675";"   24747";"    3205";"  579868";"  436695";"  143173"
"Prices of 2015";"2017 1st quarter";"  305401";"  176597";"  128879";"   95269";"   33618";"  305401";"  154684";"  120446";"   78196";"   42248";"   35905";"   29863";"    6041";"   -1670";"  150831";"  115078";"   35768"
"Prices of 2015";"2017 2nd quarter";"  318807";"  184553";"  134298";"   98033";"   36248";"  318807";"  166394";"  126090";"   80751";"   45336";"   37926";"   32001";"    5924";"    2390";"  152485";"  113499";"   38960"
"Prices of 2015";"2017 3rd quarter";"  314183";"  178213";"  136092";"   97990";"   38092";"  314183";"  161522";"  124608";"   81910";"   42697";"   35247";"   28818";"    6428";"    1666";"  152756";"  114041";"   38701"
"Prices of 2015";"2017 4th quarter";"  326693";"  186294";"  140534";"  102014";"   38460";"  326693";"  165345";"  126154";"   80137";"   46016";"   38291";"   31553";"    6739";"     891";"  161488";"  120318";"   41128"
"Prices of 2015";"2017";" 1265084";"  725657";"  539806";"  393308";"  146421";" 1265084";"  647945";"  497298";"  320994";"  176297";"  147368";"  122234";"   25132";"    3279";"  617558";"  462931";"  154559"
"Prices of 2015";"2018 1st quarter";"  318402";"  181209";"  137340";"  100700";"   36635";"  318402";"  160856";"  123576";"   80441";"   43133";"   38279";"   32241";"    6036";"    -988";"  157676";"  118807";"   38869"
"Prices of 2015";"2018 2nd quarter";"  331277";"  189583";"  141793";"  102005";"   39750";"  331277";"  171434";"  128876";"   82718";"   46156";"   40290";"   34103";"    6186";"    2296";"  159939";"  117834";"   42076"
"Prices of 2015";"2018 3rd quarter";"  323808";"  182149";"  141823";"  101102";"   40690";"  323808";"  163578";"  126630";"   83156";"   43474";"   34719";"   28303";"    6415";"    2233";"  160366";"  117655";"   42692"
"Prices of 2015";"2018 4th quarter";"  334031";"  189848";"  144336";"  105081";"   39201";"  334031";"  167893";"  128200";"   81626";"   46573";"   39361";"   32382";"    6979";"     319";"  166312";"  123069";"   43190"
"Prices of 2015";"2018";" 1307526";"  742789";"  565302";"  408894";"  156275";" 1307526";"  663776";"  507284";"  327941";"  179335";"  152653";"  127035";"   25615";"    3862";"  644301";"  477368";"  166828"
"Prices of 2015";"2019 1st quarter";"  324139";"  184532";"  139755";"  104239";"   35540";"  324139";"  165754";"  125052";"   80725";"   44321";"   39927";"   33443";"    6483";"     817";"  158462";"  118505";"   39953"
"Prices of 2015";"2019 2nd quarter";"  339590";"  193254";"  146464";"  106553";"   39884";"  339590";"  175695";"  130864";"   83556";"   47301";"   42444";"   35850";"    6593";"    2428";"  163994";"  118764";"   45196"
"Prices of 2015";"2019 3rd quarter";"  333540";"  185933";"  147817";"  107210";"   40608";"  333540";"  169848";"  128756";"   83856";"   44894";"   38448";"   31991";"    6456";"    2671";"  163803";"  119453";"   44328"
"Prices of 2015";"2019 4th quarter";"  342937";"  193596";"  149536";"  112123";"   37418";"  342937";"  172326";"  130526";"   82696";"   47824";"   41252";"   34672";"    6578";"     546";"  170791";"  126879";"   43865"
"Prices of 2015";"2019";" 1340208";"  757315";"  583579";"  430123";"  153447";" 1340208";"  683632";"  515200";"  330833";"  184338";"  162070";"  135953";"   26111";"    6464";"  657057";"  483588";"  173342"
"Prices of 2015";"2020 1st quarter";"  324187";"  183956";"  140417";"  104307";"   36112";"  324187";"  164632";"  124672";"   79700";"   44956";"   41534";"   35020";"    6510";"   -1584";"  159695";"  118701";"   40968"
"Prices of 2015";"2020 2nd quarter";"  305465";"  176152";"  129293";"   96666";"   32714";"  305465";"  161010";"  120207";"   73001";"   47135";"   39124";"   32374";"    6757";"    1704";"  144412";"  106628";"   37803"
"Prices of 2015";"2020 3rd quarter";"  320297";"  179884";"  140539";"  105699";"   35022";"  320297";"  163256";"  125911";"   79754";"   46118";"   36634";"   30052";"    6584";"     693";"  157141";"  118399";"   38813"
"Prices of 2015";"2020 4th quarter";"  333309";"  187905";"  145609";"  112783";"   33015";"  333309";"  166136";"  126420";"   77325";"   49038";"   40523";"   33079";"    7452";"    -844";"  167428";"  129613";"   37951"
"Prices of 2015";"2020";" 1283223";"  727885";"  555830";"  419414";"  136873";" 1283223";"  655061";"  497208";"  309789";"  187243";"  157828";"  130541";"   27303";"     -13";"  628597";"  473240";"  155532"
"Prices of 2015";"2021 1st quarter*";"  321262";"  181960";"  139527";"  109207";"   30925";"  321262";"  161307";"  120394";"   73920";"   46397";"   41364";"   34572";"    6798";"    -419";"  160294";"  125770";"   35063"
"Prices of 2015";"2021 2nd quarter*";"  342725";"  196983";"  145797";"  114121";"   32322";"  342725";"  175703";"  132247";"   81141";"   51046";"   42702";"   35937";"    6756";"     737";"  167460";"  128721";"   39142"
"Prices of 2015";"2021 3rd quarter*";"  344108";"  192233";"  152132";"  115320";"   37108";"  344108";"  172490";"  133050";"   85171";"   47858";"   37196";"   30690";"    6504";"    2298";"  171998";"  129298";"   42755"
"Prices of 2015";"2021 4th quarter*";"  354415";"  201793";"  152601";"  120460";"   32602";"  354415";"  175881";"  134450";"   83009";"   51400";"   41151";"   34199";"    6947";"     294";"  178890";"  138776";"   40286"
"Prices of 2015";"2021";" 1362475";"  772954";"  590029";"  459071";"  132965";" 1362475";"  685360";"  520133";"  323232";"  196697";"  162422";"  135406";"   27005";"    2899";"  678619";"  522520";"  157229"
"Prices of 2015";"2022 1st quarter*";"  340044";"  193630";"  146603";"  111681";"   35450";"  340044";"  172541";"  131295";"   83777";"   47482";"   40961";"   34551";"    6403";"     381";"  167789";"  127415";"   40882"
"Prices of 2015";"2022 2nd quarter*";"  360511";"  207149";"  153424";"  116330";"   37679";"  360511";"  183149";"  138114";"   86785";"   51305";"   44202";"   37845";"    6327";"     818";"  177896";"  131746";"   46549"
"Prices of 2015";"2022 3rd quarter*";"  352337";"  198002";"  154543";"  115253";"   39539";"  352337";"  175664";"  136200";"   87516";"   48671";"   38058";"   31611";"    6440";"    1441";"  177103";"  130870";"   46283"
"Prices of 2015";"2022 4th quarter*";"  365775";"  207629";"  158155";"  124313";"   34301";"  365775";"  179776";"  138666";"   86330";"   52311";"   42110";"   35536";"    6553";"   -1013";"  186456";"  144351";"   42278"
"Prices of 2015";"2022*";" 1418665";"  806415";"  612704";"  467532";"  146976";" 1418665";"  711114";"  544265";"  344414";"  199765";"  165332";"  139545";"   25722";"    1618";"  709231";"  534314";"  175977"
"Prices of 2015";"2023 1st quarter*";"  348961";"  197186";"  151859";"  115930";"   36450";"  348961";"  176001";"  134727";"   85923";"   48767";"   43438";"   37118";"    6294";"   -2009";"  173197";"  132191";"   41452"
"Prices of 2015";"2023 2nd quarter*";"  361824";"  206848";"  154949";"  117667";"   37848";"  361824";"  184978";"  140015";"   87108";"   52872";"   45564";"   39048";"    6484";"    -567";"  177427";"  131869";"   45898"
"Prices of 2015";"2023 3rd quarter*";"  344678";"  196434";"  148690";"  109764";"   39314";"  344678";"  174900";"  137542";"   86538";"   50968";"   38623";"   31938";"    6681";"   -1118";"  170334";"  125485";"   44947"
"Prices of 2015";"2023 4th quarter*";"  358810";"  206850";"  152256";"  118697";"   34110";"  358810";"  182235";"  140548";"   86235";"   54270";"   40938";"   34223";"    6705";"     615";"  177420";"  136337";"   41376"
"Prices of 2015";"2023*";" 1414293";"  807350";"  607683";"  461960";"  147727";" 1414293";"  718080";"  552832";"  345835";"  206875";"  168575";"  142342";"   26165";"   -3073";"  698354";"  525775";"  173665"
"Prices of 2015";"2024 1st quarter*";"  342098";"  195724";"  146384";"  110176";"   36657";"  342098";"  176354";"  137295";"   86847";"   50442";"   41762";"       .";"       .";"   -2614";"  165917";"  124255";"   42148"
"Current prices";"1995 1st quarter";"  120676";"   79959";"   40717";"   32936";"    7781";"  120676";"   73774";"   56810";"   39358";"   17452";"   16566";"   13849";"    2717";"     398";"   46902";"   38088";"    8814"
"Current prices";"1995 2nd quarter";"  123656";"   81711";"   41945";"   32528";"    9417";"  123656";"   76201";"   59913";"   40498";"   19415";"   18026";"   15069";"    2957";"   -1738";"   47455";"   37834";"    9621"
"Current prices";"1995 3rd quarter";"  121786";"   81551";"   40235";"   30173";"   10062";"  121786";"   76018";"   58854";"   41365";"   17489";"   15470";"   12655";"    2815";"    1694";"   45768";"   35306";"   10462"
"Current prices";"1995 4th quarter";"  130172";"   86326";"   43846";"   33604";"   10242";"  130172";"   81727";"   60538";"   40990";"   19548";"   18910";"   15290";"    3620";"    2279";"   48445";"   37639";"   10806"
"Current prices";"1995";"  496290";"  329547";"  166743";"  129241";"   37502";"  496290";"  307720";"  236115";"  162211";"   73904";"   68972";"   56863";"   12109";"    2633";"  188570";"  148867";"   39703"
"Current prices";"1996 1st quarter";"  125397";"   82878";"   42519";"   34165";"    8354";"  125397";"   76691";"   59238";"   41865";"   17373";"   16519";"   13920";"    2599";"     934";"   48706";"   39172";"    9534"
"Current prices";"1996 2nd quarter";"  129354";"   86168";"   43186";"   33023";"   10163";"  129354";"   81292";"   62404";"   43032";"   19372";"   19354";"   16079";"    3275";"    -466";"   48062";"   37676";"   10386"
"Current prices";"1996 3rd quarter";"  128566";"   85184";"   43382";"   32742";"   10640";"  128566";"   79821";"   61102";"   43690";"   17412";"   17538";"   14281";"    3257";"    1181";"   48745";"   37459";"   11286"
"Current prices";"1996 4th quarter";"  138254";"   90395";"   47859";"   36691";"   11168";"  138254";"   85992";"   63300";"   43795";"   19505";"   20929";"   16886";"    4043";"    1763";"   52262";"   40547";"   11715"
"Current prices";"1996";"  521571";"  344625";"  176946";"  136621";"   40325";"  521571";"  323796";"  246044";"  172382";"   73662";"   74340";"   61166";"   13174";"    3412";"  197775";"  154854";"   42921"
"Current prices";"1997 1st quarter";"  134501";"   87870";"   46631";"   37287";"    9344";"  134501";"   82180";"   62657";"   44382";"   18275";"   19061";"   16322";"    2739";"     462";"   52321";"   41661";"   10660"
"Current prices";"1997 2nd quarter";"  141420";"   92123";"   49297";"   37534";"   11763";"  141420";"   86802";"   66199";"   45838";"   20361";"   21112";"   17812";"    3300";"    -509";"   54618";"   42802";"   11816"
"Current prices";"1997 3rd quarter";"  141249";"   91152";"   50097";"   37603";"   12494";"  141249";"   85251";"   64971";"   46676";"   18295";"   18589";"   15243";"    3346";"    1691";"   55998";"   42821";"   13177"
"Current prices";"1997 4th quarter";"  151090";"   97901";"   53189";"   40024";"   13165";"  151090";"   91271";"   67376";"   46840";"   20536";"   21253";"   17350";"    3903";"    2642";"   59819";"   45885";"   13934"
"Current prices";"1997";"  568260";"  369046";"  199214";"  152448";"   46766";"  568260";"  345504";"  261203";"  183736";"   77467";"   80015";"   66727";"   13288";"    4286";"  222756";"  173169";"   49587"
"Current prices";"1998 1st quarter";"  147263";"   95497";"   51766";"   40716";"   11050";"  147263";"   90045";"   66962";"   47569";"   19393";"   21103";"   18018";"    3085";"    1980";"   57218";"   45356";"   11862"
"Current prices";"1998 2nd quarter";"  150521";"   98541";"   51980";"   38828";"   13152";"  150521";"   92413";"   70921";"   49370";"   21551";"   21711";"   18381";"    3330";"    -219";"   58108";"   45064";"   13044"
"Current prices";"1998 3rd quarter";"  148729";"   97016";"   51713";"   38136";"   13577";"  148729";"   91224";"   69780";"   50358";"   19422";"   20293";"   16922";"    3371";"    1151";"   57505";"   43787";"   13718"
"Current prices";"1998 4th quarter";"  157593";"  103241";"   54352";"   40582";"   13770";"  157593";"   96448";"   72001";"   50245";"   21756";"   23031";"   18976";"    4055";"    1416";"   61145";"   46641";"   14504"
"Current prices";"1998";"  604106";"  394295";"  209811";"  158262";"   51549";"  604106";"  370130";"  279664";"  197542";"   82122";"   86138";"   72297";"   13841";"    4328";"  233976";"  180848";"   53128"
"Current prices";"1999 1st quarter";"  153321";"  101009";"   52312";"   40145";"   12167";"  153321";"   94676";"   71913";"   51520";"   20393";"   23179";"   19681";"    3498";"    -416";"   58645";"   45608";"   13037"
"Current prices";"1999 2nd quarter";"  160149";"  104536";"   55613";"   40553";"   15060";"  160149";"   98639";"   76002";"   53339";"   22663";"   23992";"   20148";"    3844";"   -1355";"   61510";"   47108";"   14402"
"Current prices";"1999 3rd quarter";"  160462";"  102986";"   57476";"   42016";"   15460";"  160462";"   98466";"   74614";"   54188";"   20426";"   22567";"   18639";"    3928";"    1285";"   61996";"   46839";"   15157"
"Current prices";"1999 4th quarter";"  174119";"  110928";"   63191";"   46898";"   16293";"  174119";"  104993";"   76860";"   53959";"   22901";"   26392";"   21879";"    4513";"    1741";"   69126";"   52622";"   16504"
"Current prices";"1999";"  648051";"  419459";"  228592";"  169612";"   58980";"  648051";"  396774";"  299389";"  213006";"   86383";"   96130";"   80347";"   15783";"    1255";"  251277";"  192177";"   59100"
"Current prices";"2000 1st quarter";"  171892";"  109154";"   62738";"   49311";"   13427";"  171892";"  102635";"   77614";"   55668";"   21946";"   24785";"   21077";"    3708";"     236";"   69257";"   54930";"   14327"
"Current prices";"2000 2nd quarter";"  179376";"  113124";"   66252";"   49622";"   16630";"  179376";"  106665";"   81349";"   56982";"   24367";"   26286";"   22245";"    4041";"    -970";"   72711";"   56703";"   16008"
"Current prices";"2000 3rd quarter";"  177590";"  110955";"   66635";"   49874";"   16761";"  177590";"  103343";"   79339";"   57369";"   21970";"   23585";"   19566";"    4019";"     419";"   74247";"   57516";"   16731"
"Current prices";"2000 4th quarter";"  192042";"  118774";"   73268";"   55166";"   18102";"  192042";"  109782";"   82104";"   57477";"   24627";"   27200";"   22032";"    5168";"     478";"   82260";"   63927";"   18333"
"Current prices";"2000";"  720900";"  452007";"  268893";"  203973";"   64920";"  720900";"  422425";"  320406";"  227496";"   92910";"  101856";"   84920";"   16936";"     163";"  298475";"  233076";"   65399"
"Current prices";"2001 1st quarter";"  186219";"  118182";"   68037";"   52826";"   15211";"  186219";"  109525";"   82245";"   58332";"   23913";"   26177";"   21963";"    4214";"    1103";"   76694";"   61114";"   15580"
"Current prices";"2001 2nd quarter";"  190670";"  121417";"   69253";"   50789";"   18464";"  190670";"  113921";"   86687";"   60196";"   26491";"   27698";"   23244";"    4454";"    -464";"   76749";"   59320";"   17429"
"Current prices";"2001 3rd quarter";"  185206";"  117448";"   67758";"   49731";"   18027";"  185206";"  110713";"   84252";"   60281";"   23971";"   24553";"   19978";"    4575";"    1908";"   74493";"   56732";"   17761"
"Current prices";"2001 4th quarter";"  193207";"  124834";"   68373";"   49955";"   18418";"  193207";"  116120";"   87620";"   60835";"   26785";"   28278";"   22760";"    5518";"     222";"   77087";"   58281";"   18806"
"Current prices";"2001";"  755302";"  481881";"  273421";"  203301";"   70120";"  755302";"  450279";"  340804";"  239644";"  101160";"  106706";"   87945";"   18761";"    2769";"  305023";"  235447";"   69576"
"Current prices";"2002 1st quarter";"  186629";"  122569";"   64060";"   48145";"   15915";"  186629";"  114127";"   87519";"   61286";"   26233";"   26882";"   22146";"    4736";"    -274";"   72502";"   56332";"   16170"
"Current prices";"2002 2nd quarter";"  193695";"  126495";"   67200";"   47952";"   19248";"  193695";"  118453";"   91924";"   62959";"   28965";"   27735";"   22622";"    5113";"   -1206";"   75242";"   57252";"   17990"
"Current prices";"2002 3rd quarter";"  189219";"  122746";"   66473";"   47386";"   19087";"  189219";"  114552";"   89527";"   63243";"   26284";"   24441";"   19370";"    5071";"     584";"   74667";"   56350";"   18317"
"Current prices";"2002 4th quarter";"  198745";"  129327";"   69418";"   49893";"   19525";"  198745";"  119730";"   92610";"   63225";"   29385";"   26599";"   20573";"    6026";"     521";"   79015";"   59503";"   19512"
"Current prices";"2002";"  768288";"  501137";"  267151";"  193376";"   73775";"  768288";"  466862";"  361580";"  250713";"  110867";"  105657";"   84711";"   20946";"    -375";"  301426";"  229437";"   71989"
"Current prices";"2003 1st quarter";"  192343";"  126435";"   65908";"   49564";"   16344";"  192343";"  117178";"   90988";"   63209";"   27779";"   26063";"   21112";"    4951";"     127";"   75165";"   58657";"   16508"
"Current prices";"2003 2nd quarter";"  195859";"  129110";"   66749";"   47285";"   19464";"  195859";"  121149";"   95020";"   64409";"   30611";"   27247";"   21990";"    5257";"   -1118";"   74710";"   56544";"   18166"
"Current prices";"2003 3rd quarter";"  190887";"  124858";"   66029";"   46642";"   19387";"  190887";"  116887";"   92310";"   64416";"   27894";"   24375";"   18857";"    5518";"     202";"   74000";"   55772";"   18228"
"Current prices";"2003 4th quarter";"  203643";"  132407";"   71236";"   51137";"   20099";"  203643";"  123503";"   95334";"   64180";"   31154";"   27951";"   21910";"    6041";"     218";"   80140";"   60455";"   19685"
"Current prices";"2003";"  782732";"  512810";"  269922";"  194628";"   75294";"  782732";"  478717";"  373652";"  256214";"  117438";"  105636";"   83869";"   21767";"    -571";"  304015";"  231428";"   72587"
"Current prices";"2004 1st quarter";"  195123";"  129524";"   65599";"   50266";"   15333";"  195123";"  119359";"   92531";"   64370";"   28161";"   26959";"   21904";"    5055";"    -131";"   75764";"   59607";"   16157"
"Current prices";"2004 2nd quarter";"  205613";"  133599";"   72014";"   52429";"   19585";"  205613";"  123492";"   96979";"   65929";"   31050";"   27851";"   22794";"    5057";"   -1338";"   82121";"   63597";"   18524"
"Current prices";"2004 3rd quarter";"  202278";"  129034";"   73244";"   53788";"   19456";"  202278";"  119548";"   94353";"   66029";"   28324";"   24632";"   19621";"    5011";"     563";"   82730";"   64179";"   18551"
"Current prices";"2004 4th quarter";"  217032";"  137129";"   79903";"   57537";"   22366";"  217032";"  125921";"   96899";"   65305";"   31594";"   27962";"   22305";"    5657";"    1060";"   91111";"   68954";"   22157"
"Current prices";"2004";"  820046";"  529286";"  290760";"  214020";"   76740";"  820046";"  488320";"  380762";"  261633";"  119129";"  107404";"   86624";"   20780";"     154";"  331726";"  256337";"   75389"
"Current prices";"2005 1st quarter";"  205739";"  133745";"   71994";"   54995";"   16999";"  205739";"  121420";"   94266";"   65246";"   29020";"   27262";"   22424";"    4838";"    -108";"   84319";"   66321";"   17998"
"Current prices";"2005 2nd quarter";"  217899";"  139040";"   78859";"   57494";"   21365";"  217899";"  127724";"   99377";"   67431";"   31946";"   29242";"   24199";"    5043";"    -895";"   90175";"   69984";"   20191"
"Current prices";"2005 3rd quarter";"  213947";"  134684";"   79263";"   58416";"   20847";"  213947";"  124234";"   97504";"   68266";"   29238";"   26809";"   21741";"    5068";"     -79";"   89713";"   69987";"   19726"
"Current prices";"2005 4th quarter";"  228263";"  143414";"   84849";"   62984";"   21865";"  228263";"  130914";"  100467";"   67936";"   32531";"   29141";"   23476";"    5665";"    1306";"   97349";"   75388";"   21961"
"Current prices";"2005";"  865848";"  550883";"  314965";"  233889";"   81076";"  865848";"  504292";"  391614";"  268879";"  122735";"  112454";"   91840";"   20614";"     224";"  361556";"  281680";"   79876"
"Current prices";"2006 1st quarter";"  224478";"  142446";"   82032";"   64217";"   17815";"  224478";"  128453";"   99231";"   67176";"   32055";"   28981";"   23630";"    5351";"     241";"   96025";"   76694";"   19331"
"Current prices";"2006 2nd quarter";"  234773";"  147405";"   87368";"   65911";"   21457";"  234773";"  134967";"  104830";"   69719";"   35111";"   31283";"   25593";"    5690";"   -1146";"   99806";"   78635";"   21171"
"Current prices";"2006 3rd quarter";"  228830";"  142476";"   86354";"   65078";"   21276";"  228830";"  131512";"  102397";"   69969";"   32428";"   29318";"   23791";"    5527";"    -203";"   97318";"   76961";"   20357"
"Current prices";"2006 4th quarter";"  244802";"  152219";"   92583";"   69025";"   23558";"  244802";"  139401";"  104982";"   69025";"   35957";"   33412";"   27090";"    6322";"    1007";"  105401";"   82640";"   22761"
"Current prices";"2006";"  932883";"  584546";"  348337";"  264231";"   84106";"  932883";"  534333";"  411440";"  275889";"  135551";"  122994";"  100104";"   22890";"    -101";"  398550";"  314930";"   83620"
"Current prices";"2007 1st quarter";"  238550";"  151680";"   86870";"   68351";"   18519";"  238550";"  136564";"  103801";"   69655";"   34146";"   33179";"   27536";"    5643";"    -416";"  101986";"   81808";"   20178"
"Current prices";"2007 2nd quarter";"  248224";"  155664";"   92560";"   70159";"   22401";"  248224";"  142697";"  109260";"   71931";"   37329";"   34112";"   28195";"    5917";"    -675";"  105527";"   82566";"   22961"
"Current prices";"2007 3rd quarter";"  243757";"  150806";"   92951";"   70594";"   22357";"  243757";"  139615";"  106793";"   72477";"   34316";"   31829";"   26156";"    5673";"     993";"  104142";"   82405";"   21737"
"Current prices";"2007 4th quarter";"  270558";"  161020";"  109538";"   74319";"   35219";"  270558";"  156376";"  110825";"   72755";"   38070";"   45106";"   38608";"    6498";"     445";"  114182";"   89598";"   24584"
"Current prices";"2007";" 1001089";"  619170";"  381919";"  283423";"   98496";" 1001089";"  575252";"  430679";"  286818";"  143861";"  144226";"  120495";"   23731";"     347";"  425837";"  336377";"   89460"
"Current prices";"2008 1st quarter";"  256688";"  159551";"   97137";"   76187";"   20950";"  256688";"  143603";"  108537";"   72489";"   36048";"   35491";"   28929";"    6562";"    -425";"  113085";"   89767";"   23318"
"Current prices";"2008 2nd quarter";"  265844";"  164065";"  101779";"   77015";"   24764";"  265844";"  150843";"  114444";"   75046";"   39398";"   37528";"   30832";"    6696";"   -1129";"  115001";"   90023";"   24978"
"Current prices";"2008 3rd quarter";"  259733";"  158554";"  101179";"   77298";"   23881";"  259733";"  146574";"  111108";"   74828";"   36280";"   34184";"   28331";"    5853";"    1282";"  113159";"   89674";"   23485"
"Current prices";"2008 4th quarter";"  261447";"  165028";"   96419";"   71501";"   24918";"  261447";"  150989";"  113395";"   73070";"   40325";"   35938";"   29463";"    6475";"    1656";"  110458";"   84738";"   25720"
"Current prices";"2008";" 1043712";"  647198";"  396514";"  302001";"   94513";" 1043712";"  592009";"  447484";"  295433";"  152051";"  143141";"  117555";"   25586";"    1384";"  451703";"  354202";"   97501"
"Current prices";"2009 1st quarter";"  239710";"  156165";"   83545";"   61634";"   21911";"  239710";"  143803";"  109419";"   70937";"   38482";"   34808";"   28139";"    6669";"    -424";"   95907";"   72443";"   23464"
"Current prices";"2009 2nd quarter";"  240586";"  157462";"   83124";"   58283";"   24841";"  240586";"  146667";"  113699";"   71575";"   42124";"   35271";"   28384";"    6887";"   -2303";"   93919";"   69052";"   24867"
"Current prices";"2009 3rd quarter";"  235695";"  151694";"   84001";"   59870";"   24131";"  235695";"  140773";"  110645";"   71868";"   38777";"   31103";"   24491";"    6612";"    -975";"   94922";"   72094";"   22828"
"Current prices";"2009 4th quarter";"  250343";"  159521";"   90822";"   65173";"   25649";"  250343";"  146208";"  114213";"   71152";"   43061";"   31946";"   25138";"    6808";"      49";"  104135";"   78793";"   25342"
"Current prices";"2009";"  966334";"  624842";"  341492";"  244960";"   96532";"  966334";"  577451";"  447976";"  285532";"  162444";"  133128";"  106152";"   26976";"   -3653";"  388883";"  292382";"   96501"
