"Type of data";"Periods";"Expenditure approach to GDP/Disposable for final expenditure/Total (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Gross domestic product (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Total (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Imports of goods (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Imports of services (million euros)";"Expenditure approach to GDP/Final expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/Households including NPISHs (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/General government (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/Enterprises and households (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/General government (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Changes in inventories incl. valuables (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Total (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Exports of goods (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Exports of services (million euros)"
"Prices of 2015";"1999 4th quarter";"  216783";"  146497";"   71117";"   49995";"   20935";"  216783";"  138227";"  102866";"   70767";"   31831";"   33457";"   27095";"    6284";"    1516";"   79720";"   58449";"   21232"
"Prices of 2015";"1999";"  822040";"  557320";"  267880";"  190126";"   76269";"  822040";"  529173";"  406152";"  282971";"  122630";"  122013";"  100479";"   21279";"     197";"  296569";"  221210";"   74615"
"Prices of 2015";"2000 1st quarter";"  214372";"  144195";"   70750";"   53129";"   17285";"  214372";"  133635";"  104363";"   73346";"   30945";"   30378";"   25371";"    4878";"   -1327";"   81133";"   63085";"   17638"
"Prices of 2015";"2000 2nd quarter";"  220050";"  145137";"   75314";"   53173";"   20929";"  220050";"  138514";"  106225";"   73340";"   32786";"   32456";"   27073";"    5287";"    -505";"   81841";"   62045";"   19433"
"Prices of 2015";"2000 3rd quarter";"  213789";"  140451";"   73629";"   52423";"   20878";"  213789";"  133113";"  103878";"   73638";"   30092";"   28559";"   23513";"    5017";"     505";"   81209";"   60942";"   20011"
"Prices of 2015";"2000 4th quarter";"  228835";"  150941";"   78292";"   55443";"   22575";"  228835";"  140066";"  106155";"   73022";"   32856";"   33235";"   26303";"    6930";"     419";"   89227";"   66527";"   22516"
"Prices of 2015";"2000";"  877007";"  580703";"  298036";"  214187";"   81790";"  877007";"  545313";"  420607";"  293337";"  126680";"  124865";"  102532";"   22096";"    -915";"  333430";"  252613";"   79602"
"Prices of 2015";"2001 1st quarter";"  223983";"  148200";"   76008";"   56642";"   19100";"  223983";"  138377";"  107047";"   74584";"   32414";"   30843";"   25451";"    5290";"     179";"   85874";"   66873";"   18557"
"Prices of 2015";"2001 2nd quarter";"  226880";"  149408";"   77855";"   54218";"   22517";"  226880";"  142814";"  109432";"   74993";"   34365";"   33074";"   27348";"    5647";"     -48";"   84380";"   63503";"   20560"
"Prices of 2015";"2001 3rd quarter";"  218894";"  143558";"   75601";"   53399";"   21945";"  218894";"  137535";"  106386";"   74965";"   31298";"   28756";"   23275";"    5458";"    2139";"   82078";"   60974";"   20912"
"Prices of 2015";"2001 4th quarter";"  228229";"  153077";"   75919";"   53142";"   22645";"  228229";"  143086";"  109350";"   74798";"   34301";"   33563";"   26418";"    7161";"     -22";"   86099";"   63319";"   22734"
"Prices of 2015";"2001";"  897893";"  594216";"  305408";"  217386";"   86332";"  897893";"  561802";"  432203";"  299335";"  132381";"  126475";"  102768";"   23553";"    2259";"  338341";"  254554";"   82773"
"Prices of 2015";"2002 1st quarter";"  221644";"  148325";"   73719";"   54189";"   19398";"  221644";"  138237";"  109219";"   75657";"   33528";"   30470";"   24642";"    5773";"   -1598";"   83792";"   64648";"   18763"
"Prices of 2015";"2002 2nd quarter";"  227510";"  149889";"   78011";"   54097";"   22823";"  227510";"  143168";"  112096";"   75945";"   36108";"   32011";"   25745";"    6251";"   -1157";"   84653";"   63570";"   20779"
"Prices of 2015";"2002 3rd quarter";"  220410";"  144446";"   76222";"   53375";"   22650";"  220410";"  137434";"  108716";"   75889";"   32737";"   27872";"   21793";"    6073";"     741";"   83578";"   62370";"   20989"
"Prices of 2015";"2002 4th quarter";"  230552";"  152870";"   78277";"   54750";"   23398";"  230552";"  142777";"  111317";"   75338";"   35777";"   30720";"   23340";"    7484";"     672";"   88524";"   65497";"   22929"
"Prices of 2015";"2002";"  900052";"  595507";"  306267";"  216413";"   88399";"  900052";"  561605";"  441338";"  302819";"  138157";"  121321";"   95791";"   25591";"   -1330";"  340530";"  256056";"   83469"
"Prices of 2015";"2003 1st quarter";"  224440";"  149303";"   75502";"   56119";"   19194";"  224440";"  138510";"  110618";"   75974";"   34621";"   28905";"   22953";"    5949";"   -1043";"   86263";"   66933";"   18928"
"Prices of 2015";"2003 2nd quarter";"  227960";"  149417";"   78916";"   55184";"   22603";"  227960";"  142840";"  112957";"   76062";"   36864";"   30919";"   24589";"    6337";"   -1195";"   85395";"   64253";"   20829"
"Prices of 2015";"2003 3rd quarter";"  220493";"  144122";"   76617";"   53929";"   22475";"  220493";"  137063";"  109230";"   75685";"   33474";"   27427";"   21094";"    6344";"     338";"   84003";"   63176";"   20595"
"Prices of 2015";"2003 4th quarter";"  234514";"  153626";"   81412";"   57760";"   23452";"  234514";"  144016";"  111909";"   74722";"   37035";"   31754";"   24446";"    7386";"     260";"   91168";"   68216";"   22801"
"Prices of 2015";"2003";"  907346";"  596434";"  312511";"  223018";"   87852";"  907346";"  562418";"  444698";"  302424";"  141995";"  119223";"   93315";"   26033";"   -1630";"  346800";"  262553";"   83153"
