 STN,YYYYMMDD,   SQ,   SP,    Q,   DR,   RH,  VVN,  VVX,   NG
  260,19900411,   98,   72, 1847,    0,   -1,   57,   80,    5
  260,19900412,    0,    0,  298,    1,    2,   18,   58,    7
  260,19900413,   18,   13, 1100,   12,   13,   19,   65,    7
  260,19900414,   67,   49, 1591,   59,   27,   58,   82,    6
  260,19900415,   35,   25, 1101,   91,  188,   56,   75,    6
  260,19900416,   73,   52, 1479,   16,   15,   59,   82,    6
  260,19900417,   85,   61, 1624,   16,   24,   58,   82,    4
  260,19900418,   18,   13,  909,    0,   -1,   58,   75,    5
  260,19900419,   16,   11,  950,    0,   -1,   45,   67,    6
  260,19900420,    5,    4,  586,   21,   16,    5,   60,    5
  260,19900421,   93,   65, 1871,    0,   -1,   11,   65,    2
  260,19900422,   97,   68, 1747,    0,   -1,   57,   68,    3
  260,19900423,   81,   56, 1779,    4,   27,   31,   62,    3
  260,19900424,  106,   73, 1931,    2,    4,   45,   70,    3
  260,19900425,  108,   74, 2082,    0,    0,   57,   70,    2
  260,19900426,   34,   23, 1492,   41,   24,   30,   65,    6
  260,19900427,   67,   46, 1477,   25,   24,   20,   82,    6
  260,19900428,  108,   74, 2190,    0,    0,   65,   82,    5
  260,19900429,   49,   33, 1816,    0,    0,   40,   68,    6
  260,19900430,  127,   86, 2407,    0,    0,    3,   82,    1
  260,19900501,  127,   85, 2509,    0,    0,    1,   81,    0
  260,19900502,  130,   87, 2370,    0,    0,   65,   80,    1
  260,19900503,  142,   95, 2566,    0,    0,   75,   82,    1
  260,19900504,  139,   92, 2540,    0,    0,   65,   80,    0
  260,19900505,  135,   89, 2439,    0,    0,   59,   75,    0
  260,19900506,  112,   74, 2133,    0,    0,   59,   68,    2
  260,19900507,   75,   49, 1921,    0,    0,   25,   59,    3
  260,19900508,  115,   75, 2300,    0,    0,   25,   60,    1
  260,19900509,   30,   20, 1238,   16,   90,   25,   60,    5
  260,19900510,   57,   37, 1508,   14,   13,   38,   72,    5
  260,19900511,   28,   18, 1182,   49,   66,   18,   68,    7
  260,19900512,    5,    3,  862,   71,   98,   18,   70,    8
  260,19900513,   18,   12,  911,    2,    1,   45,   68,    7
  260,19900514,   84,   54, 1826,    0,   -1,   65,   80,    6
  260,19900515,   25,   16, 1530,   12,   51,   14,   70,    6
  260,19900516,  108,   69, 2162,    0,   -1,   45,   80,    5
  260,19900517,   93,   59, 2080,    0,    0,   57,   75,    3
  260,19900518,   -1,    0,  910,    0,    0,   75,   81,    7
  260,19900519,   72,   45, 2236,    0,    0,   65,   82,    6
  260,19900520,  105,   66, 2380,    0,    0,   59,   70,    2
  260,19900521,   94,   59, 2259,    0,    0,   56,   72,    5
  260,19900522,  124,   77, 2710,    0,    0,   65,   82,    1
  260,19900523,  140,   87, 2886,    0,    0,   65,   82,    2
  260,19900524,   84,   52, 1951,    0,    0,    1,   83,    4
  260,19900525,   86,   53, 1982,    0,   -1,   75,   84,    4
  260,19900526,  103,   64, 2137,    0,    0,   80,   84,    3
  260,19900527,  136,   84, 2707,    0,    0,   59,   82,    3
  260,19900528,  132,   81, 2412,    0,    0,   75,   80,    3
  260,19900529,  142,   87, 2873,    0,    0,   62,   81,    2
  260,19900530,  109,   67, 2555,    0,    0,   57,   67,    5
  260,19900531,   89,   54, 2185,    0,    0,   30,   65,    4
  260,19900601,   65,   40, 2158,   12,   11,   25,   62,    6
  260,19900602,   64,   39, 1550,   22,   40,   25,   75,    7
  260,19900603,    1,    1,  697,   72,   65,   25,   65,    8
  260,19900604,   30,   18, 1328,   21,   20,   40,   75,    7
  260,19900605,   52,   31, 2023,    0,    0,    4,   65,    6
  260,19900606,   26,   16, 1346,   51,   34,   16,   65,    7
  260,19900607,   36,   22, 1370,   30,   38,   15,   80,    7
  260,19900608,   78,   47, 1939,    0,   -1,   45,   80,    6
  260,19900609,    3,    2,  698,   25,   76,   25,   62,    7
  260,19900610,   -1,    0,  795,    4,    1,   30,   65,    8
  260,19900611,    0,    0,  721,    0,   -1,   57,   75,    8
  260,19900612,    0,    0,  558,    0,   -1,   58,   78,    8
  260,19900613,    7,    4, 1251,    0,    0,   57,   80,    7
  260,19900614,    0,    0,  717,    0,   -1,   63,   80,    7
  260,19900615,   -1,    0, 1116,    0,    0,   64,   80,    7
  260,19900616,   75,   45, 2176,    0,    0,   59,   68,    4
