"Housing characteristics";"Periods";"Regions";"Average consumption of natural gas (m3)";"Average supply of electricity (kWh)"
"Owner-occupied house";"2014";"Flevoland (PV)";"     850";"    3750"
"Owner-occupied house";"2015";"Flevoland (PV)";"     860";"    3640"
"Owner-occupied house";"2016";"Flevoland (PV)";"     940";"    3470"
"Owner-occupied house";"2017";"Flevoland (PV)";"     910";"    3360"
"Owner-occupied house";"2018";"Flevoland (PV)";"     910";"    3240"
"Owner-occupied house";"2019";"Flevoland (PV)";"     840";"    3270"
"Owner-occupied house";"2020";"Flevoland (PV)";"     830";"    3360"
"Owner-occupied house";"2021";"Flevoland (PV)";"     930";"    3400"
"Owner-occupied house";"2022*";"Flevoland (PV)";"     730";"    3200"
"Owner-occupied house";"2010";"Gelderland (PV)";"       .";"       ."
"Owner-occupied house";"2011";"Gelderland (PV)";"       .";"       ."
"Owner-occupied house";"2012";"Gelderland (PV)";"    1900";"    3900"
"Owner-occupied house";"2013";"Gelderland (PV)";"    2000";"    3800"
"Owner-occupied house";"2014";"Gelderland (PV)";"    1500";"    3650"
"Owner-occupied house";"2015";"Gelderland (PV)";"    1600";"    3590"
"Owner-occupied house";"2016";"Gelderland (PV)";"    1660";"    3470"
"Owner-occupied house";"2017";"Gelderland (PV)";"    1610";"    3370"
"Owner-occupied house";"2018";"Gelderland (PV)";"    1600";"    3260"
"Owner-occupied house";"2019";"Gelderland (PV)";"    1470";"    3270"
"Owner-occupied house";"2020";"Gelderland (PV)";"    1390";"    3350"
"Owner-occupied house";"2021";"Gelderland (PV)";"    1570";"    3400"
"Owner-occupied house";"2022*";"Gelderland (PV)";"    1230";"    3200"
"Owner-occupied house";"2010";"Utrecht (PV)";"       .";"       ."
"Owner-occupied house";"2011";"Utrecht (PV)";"       .";"       ."
"Owner-occupied house";"2012";"Utrecht (PV)";"    1600";"    3750"
"Owner-occupied house";"2013";"Utrecht (PV)";"    1750";"    3700"
"Owner-occupied house";"2014";"Utrecht (PV)";"    1300";"    3550"
"Owner-occupied house";"2015";"Utrecht (PV)";"    1380";"    3490"
"Owner-occupied house";"2016";"Utrecht (PV)";"    1430";"    3430"
"Owner-occupied house";"2017";"Utrecht (PV)";"    1370";"    3360"
"Owner-occupied house";"2018";"Utrecht (PV)";"    1360";"    3280"
"Owner-occupied house";"2019";"Utrecht (PV)";"    1260";"    3160"
"Owner-occupied house";"2020";"Utrecht (PV)";"    1200";"    3200"
"Owner-occupied house";"2021";"Utrecht (PV)";"    1360";"    3300"
"Owner-occupied house";"2022*";"Utrecht (PV)";"    1060";"    3070"
"Owner-occupied house";"2010";"Noord-Holland (PV)";"       .";"       ."
"Owner-occupied house";"2011";"Noord-Holland (PV)";"       .";"       ."
"Owner-occupied house";"2012";"Noord-Holland (PV)";"    1650";"    3600"
"Owner-occupied house";"2013";"Noord-Holland (PV)";"    1750";"    3500"
"Owner-occupied house";"2014";"Noord-Holland (PV)";"    1300";"    3400"
"Owner-occupied house";"2015";"Noord-Holland (PV)";"    1390";"    3300"
"Owner-occupied house";"2016";"Noord-Holland (PV)";"    1430";"    3210"
"Owner-occupied house";"2017";"Noord-Holland (PV)";"    1370";"    3140"
"Owner-occupied house";"2018";"Noord-Holland (PV)";"    1380";"    3070"
"Owner-occupied house";"2019";"Noord-Holland (PV)";"    1280";"    3040"
"Owner-occupied house";"2020";"Noord-Holland (PV)";"    1210";"    3080"
"Owner-occupied house";"2021";"Noord-Holland (PV)";"    1380";"    3160"
"Owner-occupied house";"2022*";"Noord-Holland (PV)";"    1070";"    2940"
"Owner-occupied house";"2010";"Zuid-Holland (PV)";"       .";"       ."
"Owner-occupied house";"2011";"Zuid-Holland (PV)";"       .";"       ."
"Owner-occupied house";"2012";"Zuid-Holland (PV)";"    1500";"    3550"
"Owner-occupied house";"2013";"Zuid-Holland (PV)";"    1600";"    3500"
"Owner-occupied house";"2014";"Zuid-Holland (PV)";"    1200";"    3400"
"Owner-occupied house";"2015";"Zuid-Holland (PV)";"    1280";"    3330"
"Owner-occupied house";"2016";"Zuid-Holland (PV)";"    1310";"    3270"
"Owner-occupied house";"2017";"Zuid-Holland (PV)";"    1260";"    3220"
"Owner-occupied house";"2018";"Zuid-Holland (PV)";"    1270";"    3150"
"Owner-occupied house";"2019";"Zuid-Holland (PV)";"    1170";"    3040"
"Owner-occupied house";"2020";"Zuid-Holland (PV)";"    1120";"    3110"
"Owner-occupied house";"2021";"Zuid-Holland (PV)";"    1270";"    3180"
"Owner-occupied house";"2022*";"Zuid-Holland (PV)";"     980";"    2970"
"Owner-occupied house";"2010";"Zeeland (PV)";"       .";"       ."
"Owner-occupied house";"2011";"Zeeland (PV)";"       .";"       ."
"Owner-occupied house";"2012";"Zeeland (PV)";"    1650";"    3400"
"Owner-occupied house";"2013";"Zeeland (PV)";"    1850";"    3350"
"Owner-occupied house";"2014";"Zeeland (PV)";"    1400";"    3200"
"Owner-occupied house";"2015";"Zeeland (PV)";"    1470";"    3150"
"Owner-occupied house";"2016";"Zeeland (PV)";"    1500";"    3080"
"Owner-occupied house";"2017";"Zeeland (PV)";"    1420";"    3000"
"Owner-occupied house";"2018";"Zeeland (PV)";"    1450";"    2930"
"Owner-occupied house";"2019";"Zeeland (PV)";"    1350";"    2840"
"Owner-occupied house";"2020";"Zeeland (PV)";"    1290";"    2870"
"Owner-occupied house";"2021";"Zeeland (PV)";"    1480";"    3070"
"Owner-occupied house";"2022*";"Zeeland (PV)";"    1160";"    2900"
"Owner-occupied house";"2010";"Noord-Brabant (PV)";"       .";"       ."
"Owner-occupied house";"2011";"Noord-Brabant (PV)";"       .";"       ."
"Owner-occupied house";"2012";"Noord-Brabant (PV)";"    1850";"    4050"
"Owner-occupied house";"2013";"Noord-Brabant (PV)";"    1950";"    4000"
"Owner-occupied house";"2014";"Noord-Brabant (PV)";"    1450";"    3850"
"Owner-occupied house";"2015";"Noord-Brabant (PV)";"    1560";"    3780"
"Owner-occupied house";"2016";"Noord-Brabant (PV)";"    1600";"    3710"
"Owner-occupied house";"2017";"Noord-Brabant (PV)";"    1550";"    3650"
"Owner-occupied house";"2018";"Noord-Brabant (PV)";"    1550";"    3590"
"Owner-occupied house";"2019";"Noord-Brabant (PV)";"    1440";"    3460"
"Owner-occupied house";"2020";"Noord-Brabant (PV)";"    1350";"    3490"
"Owner-occupied house";"2021";"Noord-Brabant (PV)";"    1530";"    3540"
"Owner-occupied house";"2022*";"Noord-Brabant (PV)";"    1190";"    3320"
"Owner-occupied house";"2010";"Limburg (PV)";"       .";"       ."
"Owner-occupied house";"2011";"Limburg (PV)";"       .";"       ."
"Owner-occupied house";"2012";"Limburg (PV)";"    2000";"    4000"
"Owner-occupied house";"2013";"Limburg (PV)";"    2100";"    3950"
"Owner-occupied house";"2014";"Limburg (PV)";"    1550";"    3800"
"Owner-occupied house";"2015";"Limburg (PV)";"    1680";"    3700"
"Owner-occupied house";"2016";"Limburg (PV)";"    1750";"    3630"
"Owner-occupied house";"2017";"Limburg (PV)";"    1690";"    3560"
"Owner-occupied house";"2018";"Limburg (PV)";"    1680";"    3490"
"Owner-occupied house";"2019";"Limburg (PV)";"    1560";"    3360"
"Owner-occupied house";"2020";"Limburg (PV)";"    1460";"    3350"
"Owner-occupied house";"2021";"Limburg (PV)";"    1660";"    3410"
"Owner-occupied house";"2022*";"Limburg (PV)";"    1300";"    3220"
