"Bron/techniek";"Energietoepassingen";"Perioden";"Bruto eindverbruik (TJ)";"Bruto eindverbruik relatief (% van totaal eindverbruik energie)"
"Statistische overdracht";"Totaal energietoepassingen";"2022 ";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2023 **";"";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2000";" 2139719";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2001";" 2177170";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2002";" 2164264";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2003";" 2203715";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2004";" 2328387";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2005";" 2300710";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2006";" 2284781";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2007";" 2247857";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2008";" 2282493";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2009";" 2195534";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2010";" 2359420";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2011";" 2192915";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2012";" 2203277";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2013";" 2205198";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2014";" 2009118";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2015";" 2046519";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2016";" 2091289";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2017";" 2104645";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2018";" 2116089";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2019";" 2077604";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2020";" 1944180";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2021 ";" 2004341";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2022 ";" 1850247";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2023 **";" 1784713";""
"Waterkracht";"Totaal energietoepassingen";"2000";"     362";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2001";"     367";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2002";"     369";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2003";"     361";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2004";"     360";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2005";"     361";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2006";"     361";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2007";"     358";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2008";"     360";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2009";"     360";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2010";"     364";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2011";"     358";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2012";"     361";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2013";"     362";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2014";"     367";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2015";"     355";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2016";"     351";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2017";"     339";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2018";"     340";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2019";"     334";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2020";"     324";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2021 ";"     326";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2022 ";"     312";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2023 **";"     304";"    0.02"
"Totaal windenergie";"Totaal energietoepassingen";"2000";"    2678";"    0.13"
"Totaal windenergie";"Totaal energietoepassingen";"2001";"    2958";"    0.14"
"Totaal windenergie";"Totaal energietoepassingen";"2002";"    3672";"    0.17"
"Totaal windenergie";"Totaal energietoepassingen";"2003";"    4892";"    0.22"
"Totaal windenergie";"Totaal energietoepassingen";"2004";"    6347";"    0.27"
"Totaal windenergie";"Totaal energietoepassingen";"2005";"    7321";"    0.32"
"Totaal windenergie";"Totaal energietoepassingen";"2006";"    9145";"    0.40"
"Totaal windenergie";"Totaal energietoepassingen";"2007";"   11396";"    0.51"
"Totaal windenergie";"Totaal energietoepassingen";"2008";"   14131";"    0.62"
"Totaal windenergie";"Totaal energietoepassingen";"2009";"   16131";"    0.73"
"Totaal windenergie";"Totaal energietoepassingen";"2010";"   16210";"    0.69"
"Totaal windenergie";"Totaal energietoepassingen";"2011";"   17010";"    0.78"
"Totaal windenergie";"Totaal energietoepassingen";"2012";"   17780";"    0.81"
"Totaal windenergie";"Totaal energietoepassingen";"2013";"   19324";"    0.88"
"Totaal windenergie";"Totaal energietoepassingen";"2014";"   20914";"    1.04"
"Totaal windenergie";"Totaal energietoepassingen";"2015";"   24900";"    1.22"
"Totaal windenergie";"Totaal energietoepassingen";"2016";"   30110";"    1.44"
"Totaal windenergie";"Totaal energietoepassingen";"2017";"   34710";"    1.65"
"Totaal windenergie";"Totaal energietoepassingen";"2018";"   36106";"    1.71"
"Totaal windenergie";"Totaal energietoepassingen";"2019";"   38784";"    1.87"
"Totaal windenergie";"Totaal energietoepassingen";"2020";"   50215";"    2.58"
"Totaal windenergie";"Totaal energietoepassingen";"2021 ";"   68394";"    3.41"
"Totaal windenergie";"Totaal energietoepassingen";"2022 ";"   77054";"    4.16"
"Totaal windenergie";"Totaal energietoepassingen";"2023 **";"   96674";"    5.42"
"Windenergie op land";"Totaal energietoepassingen";"2000";"    2678";"    0.13"
"Windenergie op land";"Totaal energietoepassingen";"2001";"    2958";"    0.14"
"Windenergie op land";"Totaal energietoepassingen";"2002";"    3672";"    0.17"
"Windenergie op land";"Totaal energietoepassingen";"2003";"    4892";"    0.22"
"Windenergie op land";"Totaal energietoepassingen";"2004";"    6347";"    0.27"
"Windenergie op land";"Totaal energietoepassingen";"2005";"    7321";"    0.32"
"Windenergie op land";"Totaal energietoepassingen";"2006";"    8917";"    0.39"
"Windenergie op land";"Totaal energietoepassingen";"2007";"   10304";"    0.46"
"Windenergie op land";"Totaal energietoepassingen";"2008";"   12154";"    0.53"
"Windenergie op land";"Totaal energietoepassingen";"2009";"   13543";"    0.62"
"Windenergie op land";"Totaal energietoepassingen";"2010";"   13455";"    0.57"
"Windenergie op land";"Totaal energietoepassingen";"2011";"   14336";"    0.65"
"Windenergie op land";"Totaal energietoepassingen";"2012";"   14963";"    0.68"
"Windenergie op land";"Totaal energietoepassingen";"2013";"   16676";"    0.76"
"Windenergie op land";"Totaal energietoepassingen";"2014";"   18215";"    0.91"
"Windenergie op land";"Totaal energietoepassingen";"2015";"   21174";"    1.03"
"Windenergie op land";"Totaal energietoepassingen";"2016";"   21748";"    1.04"
"Windenergie op land";"Totaal energietoepassingen";"2017";"   22560";"    1.07"
"Windenergie op land";"Totaal energietoepassingen";"2018";"   23681";"    1.12"
"Windenergie op land";"Totaal energietoepassingen";"2019";"   26743";"    1.29"
"Windenergie op land";"Totaal energietoepassingen";"2020";"   32264";"    1.66"
"Windenergie op land";"Totaal energietoepassingen";"2021 ";"   37635";"    1.88"
"Windenergie op land";"Totaal energietoepassingen";"2022 ";"   46644";"    2.52"
"Windenergie op land";"Totaal energietoepassingen";"2023 **";"   56762";"    3.18"
"Windenergie op zee";"Totaal energietoepassingen";"2000";"";""
"Windenergie op zee";"Totaal energietoepassingen";"2001";"";""
"Windenergie op zee";"Totaal energietoepassingen";"2002";"";""
"Windenergie op zee";"Totaal energietoepassingen";"2003";"";""
"Windenergie op zee";"Totaal energietoepassingen";"2004";"";""
"Windenergie op zee";"Totaal energietoepassingen";"2005";"";""
"Windenergie op zee";"Totaal energietoepassingen";"2006";"     228";"    0.01"
"Windenergie op zee";"Totaal energietoepassingen";"2007";"    1092";"    0.05"
"Windenergie op zee";"Totaal energietoepassingen";"2008";"    1977";"    0.09"
"Windenergie op zee";"Totaal energietoepassingen";"2009";"    2588";"    0.12"
"Windenergie op zee";"Totaal energietoepassingen";"2010";"    2755";"    0.12"
"Windenergie op zee";"Totaal energietoepassingen";"2011";"    2674";"    0.12"
"Windenergie op zee";"Totaal energietoepassingen";"2012";"    2817";"    0.13"
"Windenergie op zee";"Totaal energietoepassingen";"2013";"    2648";"    0.12"
"Windenergie op zee";"Totaal energietoepassingen";"2014";"    2700";"    0.13"
"Windenergie op zee";"Totaal energietoepassingen";"2015";"    3727";"    0.18"
"Windenergie op zee";"Totaal energietoepassingen";"2016";"    8362";"    0.40"
"Windenergie op zee";"Totaal energietoepassingen";"2017";"   12150";"    0.58"
"Windenergie op zee";"Totaal energietoepassingen";"2018";"   12426";"    0.59"
"Windenergie op zee";"Totaal energietoepassingen";"2019";"   12041";"    0.58"
"Windenergie op zee";"Totaal energietoepassingen";"2020";"   17951";"    0.92"
"Windenergie op zee";"Totaal energietoepassingen";"2021 ";"   30759";"    1.53"
"Windenergie op zee";"Totaal energietoepassingen";"2022 ";"   30410";"    1.64"
"Windenergie op zee";"Totaal energietoepassingen";"2023 **";"   39912";"    2.24"
"Totaal zonne-energie";"Totaal energietoepassingen";"2000";"     482";"    0.02"
"Totaal zonne-energie";"Totaal energietoepassingen";"2001";"     553";"    0.03"
"Totaal zonne-energie";"Totaal energietoepassingen";"2002";"     634";"    0.03"
"Totaal zonne-energie";"Totaal energietoepassingen";"2003";"     715";"    0.03"
"Totaal zonne-energie";"Totaal energietoepassingen";"2004";"     795";"    0.03"
"Totaal zonne-energie";"Totaal energietoepassingen";"2005";"     847";"    0.04"
"Totaal zonne-energie";"Totaal energietoepassingen";"2006";"     886";"    0.04"
"Totaal zonne-energie";"Totaal energietoepassingen";"2007";"     934";"    0.04"
"Totaal zonne-energie";"Totaal energietoepassingen";"2008";"     988";"    0.04"
"Totaal zonne-energie";"Totaal energietoepassingen";"2009";"    1088";"    0.05"
"Totaal zonne-energie";"Totaal energietoepassingen";"2010";"    1196";"    0.05"
"Totaal zonne-energie";"Totaal energietoepassingen";"2011";"    1416";"    0.06"
"Totaal zonne-energie";"Totaal energietoepassingen";"2012";"    1757";"    0.08"
"Totaal zonne-energie";"Totaal energietoepassingen";"2013";"    2582";"    0.12"
"Totaal zonne-energie";"Totaal energietoepassingen";"2014";"    3739";"    0.19"
"Totaal zonne-energie";"Totaal energietoepassingen";"2015";"    5127";"    0.25"
"Totaal zonne-energie";"Totaal energietoepassingen";"2016";"    6913";"    0.33"
"Totaal zonne-energie";"Totaal energietoepassingen";"2017";"    9080";"    0.43"
"Totaal zonne-energie";"Totaal energietoepassingen";"2018";"   14510";"    0.69"
