"Bron/techniek";"Energietoepassingen";"Perioden";"Bruto eindverbruik (TJ)";"Bruto eindverbruik relatief (% van totaal eindverbruik energie)"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2021 ";"   10507";"    0.52"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2022 ";"   14191";"    0.77"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2023 **";"   18867";"    1.06"
"Totaal biomassa";"Totaal energietoepassingen";"2000";"   30989";"    1.45"
"Totaal biomassa";"Totaal energietoepassingen";"2001";"   32469";"    1.49"
"Totaal biomassa";"Totaal energietoepassingen";"2002";"   35113";"    1.62"
"Totaal biomassa";"Totaal energietoepassingen";"2003";"   34262";"    1.55"
"Totaal biomassa";"Totaal energietoepassingen";"2004";"   39396";"    1.69"
"Totaal biomassa";"Totaal energietoepassingen";"2005";"   47907";"    2.08"
"Totaal biomassa";"Totaal energietoepassingen";"2006";"   52156";"    2.28"
"Totaal biomassa";"Totaal energietoepassingen";"2007";"   60188";"    2.68"
"Totaal biomassa";"Totaal energietoepassingen";"2008";"   64823";"    2.84"
"Totaal biomassa";"Totaal energietoepassingen";"2009";"   73747";"    3.36"
"Totaal biomassa";"Totaal energietoepassingen";"2010";"   71605";"    3.03"
"Totaal biomassa";"Totaal energietoepassingen";"2011";"   76881";"    3.51"
"Totaal biomassa";"Totaal energietoepassingen";"2012";"   78470";"    3.56"
"Totaal biomassa";"Totaal energietoepassingen";"2013";"   75825";"    3.44"
"Totaal biomassa";"Totaal energietoepassingen";"2014";"   77317";"    3.85"
"Totaal biomassa";"Totaal energietoepassingen";"2015";"   78707";"    3.85"
"Totaal biomassa";"Totaal energietoepassingen";"2016";"   75469";"    3.61"
"Totaal biomassa";"Totaal energietoepassingen";"2017";"   82029";"    3.90"
"Totaal biomassa";"Totaal energietoepassingen";"2018";"   92566";"    4.37"
"Totaal biomassa";"Totaal energietoepassingen";"2019";"  108445";"    5.22"
"Totaal biomassa";"Totaal energietoepassingen";"2020";"  120444";"    6.20"
"Totaal biomassa";"Totaal energietoepassingen";"2021 ";"  126740";"    6.32"
"Totaal biomassa";"Totaal energietoepassingen";"2022 ";"  110244";"    5.96"
"Totaal biomassa";"Totaal energietoepassingen";"2023 **";"  105200";"    5.89"
