order,seasonal_order,aic,bic,converged,fit_s,lb_p7,lb_p14,lb_p21,lb_p28,lb_p365,strategy
"(1, 0, 2)","(0, 1, 1, 7)",60861.76640868549,60893.55622351472,True,2.2,1.0744193335561566e-17,1.9210751582311096e-21,4.485060471086266e-19,5.042415707424307e-17,1.4917705130972617e-48,PCA
"(2, 0, 0)","(0, 1, 1, 7)",60914.58781662582,60940.02154422194,True,1.5,7.420365285491437e-18,3.1504903913766916e-22,2.5041220054923572e-20,1.6007780826816895e-18,1.6055359511742362e-50,PCA
"(2, 0, 1)","(0, 1, 1, 7)",60874.80116273726,60906.59215003689,False,3.4,3.3402389799061496e-14,8.142074982789532e-18,1.7155957238783955e-15,2.1634706793145685e-13,3.093422726363302e-43,PCA
"(2, 0, 2)","(0, 1, 1, 7)",60865.981600794476,60904.12937858955,False,3.8,1.1075444808375898e-18,1.868312092424421e-22,7.591407710919144e-20,1.3876736026764116e-17,5.1475495171846145e-48,PCA
"(3, 0, 0)","(0, 1, 1, 7)",60914.44929479462,60946.241454289775,True,1.6,2.4162660137467676e-18,1.719757108028236e-22,1.729559207144397e-20,1.2711730062919682e-18,7.286489908856353e-51,PCA
"(3, 0, 1)","(0, 1, 1, 7)",60852.70743960194,60890.85662436149,False,4.2,1.5520568240923934e-10,1.1808092666647614e-14,8.937157805159805e-13,6.631746683381834e-11,6.941491664996243e-40,PCA
"(3, 0, 2)","(0, 1, 1, 7)",60833.16256847652,60877.66830923744,False,4.8,3.6327548937089573e-10,3.125558332563896e-14,3.6214013013511642e-12,2.31947760944487e-10,3.219332412711426e-40,PCA
"(1, 1, 1)","(0, 1, 1, 7)",60970.81332084552,60996.2451727089,True,3.1,1.651443553333995e-13,3.07066979674833e-22,2.309865594789991e-23,8.661286776190117e-22,1.8974038082953194e-48,PCA
"(0, 1, 1)","(0, 1, 1, 7)",61103.2250259072,61122.29891480474,True,1.4,1.348482629269794e-44,2.492147946354945e-50,3.6507626193338267e-47,7.564485432234272e-44,5.18359191253216e-71,PCA
"(0, 0, 1)","(0, 1, 1, 7)",62257.22542581079,62276.30001819057,True,0.8,0.0,0.0,0.0,0.0,0.0,Ridge
"(0, 0, 2)","(0, 1, 1, 7)",61444.68450113,61470.116352993384,True,1.2,3.7146293038987113e-240,8.028017372054078e-283,2.484532858007807e-280,2.7737634655514986e-276,0.0,Ridge
"(1, 0, 0)","(0, 1, 1, 7)",60920.14106391661,60939.21635961371,True,1.1,6.039969087926064e-41,7.833226226512119e-48,4.087879254397945e-45,9.929191905174832e-42,1.088586793171768e-70,Ridge
"(1, 0, 1)","(0, 1, 1, 7)",60745.10865582584,60770.54144566554,True,1.7,1.1434188928304558e-19,5.652944771815056e-22,2.840129309177456e-19,8.95483296602109e-17,5.96239115613545e-44,Ridge
"(1, 0, 2)","(0, 1, 1, 7)",60720.74442913552,60752.53424396475,True,2.0,9.285971750531679e-19,7.766100631573524e-21,4.802154026823973e-18,1.2309595895395246e-15,2.03619150685383e-42,Ridge
"(2, 0, 0)","(0, 1, 1, 7)",60767.92785536387,60793.361582959995,True,1.4,3.473042029512815e-19,4.557339094134319e-22,1.6652621347084043e-19,4.575783703576863e-17,3.264942447615338e-44,Ridge
"(2, 0, 1)","(0, 1, 1, 7)",60740.67798890978,60772.46897620941,False,2.8,2.627153576945789e-15,4.169925210040433e-17,1.290934506926628e-14,1.9764834630669572e-12,1.6867058926181414e-39,Ridge
"(2, 0, 2)","(0, 1, 1, 7)",60708.389648253346,60746.53742604842,False,4.2,6.465959247635508e-14,1.2696948300886734e-16,4.610633172070563e-14,6.203460468489582e-12,2.8908699944069463e-37,Ridge
"(3, 0, 0)","(0, 1, 1, 7)",60768.639500429395,60800.43165992455,True,1.6,1.697546376985507e-19,3.6657285991731517e-22,1.5099498401383247e-19,4.3053565617599995e-17,2.08809641242166e-44,Ridge
"(3, 0, 1)","(0, 1, 1, 7)",60749.68222229671,60787.83140705626,False,4.3,1.5180226886532136e-17,4.468567866733619e-20,1.2855354303177553e-17,1.926004469359334e-15,6.366858014324773e-40,Ridge
"(3, 0, 2)","(0, 1, 1, 7)",61058.929415612576,61103.435156373496,False,6.1,1.3494305431691994e-16,4.879900663809028e-18,1.039746372296824e-15,1.8943158010763902e-13,5.380083694651951e-40,Ridge
"(1, 1, 1)","(0, 1, 1, 7)",60837.89026186135,60863.32211372473,True,2.9,1.643505526974452e-13,9.929147422846598e-20,1.1145141084784527e-20,1.134280503302696e-19,2.4254592152759294e-44,Ridge
"(0, 1, 1)","(0, 1, 1, 7)",60995.2761107455,61014.34999964304,True,1.4,5.16885439678909e-48,2.5995127482556242e-51,1.0410120120260486e-47,2.9990700927685914e-44,4.893895270183901e-66,Ridge
"(0, 0, 1)","(0, 1, 1, 7)",62347.68571935137,62366.76031173115,True,0.8,0.0,0.0,0.0,0.0,0.0,Lasso
"(0, 0, 2)","(0, 1, 1, 7)",61558.30231587526,61583.73416773864,True,1.2,2.76851157449474e-240,5.161125295611009e-283,1.2173013064269397e-280,7.195023975324622e-277,0.0,Lasso
"(1, 0, 0)","(0, 1, 1, 7)",61060.13103838731,61079.20633408441,True,1.2,8.246757900195426e-47,3.872912799235357e-55,1.3496580848442085e-52,3.027817197051219e-49,5.561090149436374e-80,Lasso
"(1, 0, 1)","(0, 1, 1, 7)",60854.28807181649,60879.72086165619,True,1.6,1.0172801600339619e-19,1.2159513118847845e-22,4.894865960927944e-20,1.2776583259283272e-17,1.0284750092746371e-45,Lasso
"(1, 0, 2)","(0, 1, 1, 7)",60831.20062808177,60862.990442911,True,2.0,6.142919088165769e-19,9.044820812675125e-22,4.42139402798986e-19,9.806049456731744e-17,2.015012085673854e-44,Lasso
"(2, 0, 0)","(0, 1, 1, 7)",60876.746763935174,60902.1804915313,True,1.5,3.225613296992186e-19,9.554411412940704e-23,2.691939147041503e-20,5.716754712679972e-18,3.0492209776638973e-46,Lasso
"(2, 0, 1)","(0, 1, 1, 7)",60844.11541176445,60875.90639906408,True,2.4,3.0841553255288303e-15,6.071810917384937e-18,1.861492546021822e-15,2.706844228940552e-13,6.121305487228458e-40,Lasso
"(2, 0, 2)","(0, 1, 1, 7)",60813.964776877314,60852.112554672385,True,4.8,1.3643629246223308e-12,5.276368673783999e-16,1.0207828881979959e-13,9.56159887589391e-12,1.517974644669857e-38,Lasso
"(3, 0, 0)","(0, 1, 1, 7)",60877.22952914434,60909.02168863949,True,1.7,1.5120327470000998e-19,7.524813329228622e-23,2.4003278976485344e-20,5.367057402771254e-18,2.1987295737848457e-46,Lasso
"(3, 0, 1)","(0, 1, 1, 7)",60858.591077805606,60896.74026256516,False,4.4,1.5765771163967737e-17,1.0934197767672053e-20,2.7839701798234206e-18,3.0060606091433834e-16,3.595675425191042e-42,Lasso
"(3, 0, 2)","(0, 1, 1, 7)",60870.802729092415,60915.308469853335,False,4.2,6.157465366023446e-15,3.3992977208599196e-18,9.422552499319664e-16,1.233561039019117e-13,1.0372621330524023e-40,Lasso
"(1, 1, 1)","(0, 1, 1, 7)",60958.637019356975,60984.068871220356,True,2.7,8.868077321125256e-15,4.360463362599305e-22,6.458427679817618e-23,9.64555183157946e-22,1.9705275635069887e-46,Lasso
"(0, 1, 1)","(0, 1, 1, 7)",61094.08888019615,61113.16276909369,True,1.3,5.5296263602173595e-46,3.661788561994523e-50,9.115453029319798e-47,1.956278641309482e-43,4.241873681147297e-66,Lasso
