scheme,strategy,feature,cv
ffill,Filter,pressure_hpa,0.6720780686779696
ffill,Filter,price_eur_kwh,1.7234917351616625
ffill,Filter,sin1_ann,5.0
ffill,Filter,sin2_ann,1.5223903633396894
ffill,Filter,solar_energy_gwh,1.586983053583052
ffill,Filter,temp_c,0.8056633254529622
ffill,Filter,wind_energy_gwh,1.1102885032289254
ffill,Filter,wind_ms,3.1331403572229877
ffill,Ridge,cloudiness,2.2201019710794156
ffill,Ridge,cos1_ann,0.059298364481293525
ffill,Ridge,cos2_ann,0.15365493189131743
ffill,Ridge,day_of_week,0.739316058235857
ffill,Ridge,gdp_mln_eur,0.5804989609715944
ffill,Ridge,global_rad,1.6578980569621475
ffill,Ridge,humidity_pct,0.5200181017649147
ffill,Ridge,is_holiday,0.16606789790080656
ffill,Ridge,is_weekend,0.11923224352531862
ffill,Ridge,month,0.5807849929232177
ffill,Ridge,nao,5.0
ffill,Ridge,population,0.7169161334756382
ffill,Ridge,precip_mm,0.618570005490672
ffill,Ridge,pressure_hpa,0.6102281761087375
ffill,Ridge,price_eur_kwh,3.139704636765945
ffill,Ridge,sin1_ann,1.3053998856812146
ffill,Ridge,sin2_ann,5.0
ffill,Ridge,solar_energy_gwh,0.9174587738191766
ffill,Ridge,sunshine_h,1.0706083125485322
ffill,Ridge,temp_c,0.30416980398836496
ffill,Ridge,wind_energy_gwh,0.697408258822539
ffill,Ridge,wind_ms,2.7402178110877107
ffill,Lasso,cloudiness,3.3749613836429107
ffill,Lasso,cos1_ann,0.140836322432766
ffill,Lasso,cos2_ann,0.22177358055061247
ffill,Lasso,day_of_week,0.8188912240750905
ffill,Lasso,gdp_mln_eur,0.9717285475499172
ffill,Lasso,global_rad,5.0
ffill,Lasso,humidity_pct,0.2400360763436204
ffill,Lasso,is_holiday,0.03858931000812237
ffill,Lasso,is_weekend,0.049334846110070475
ffill,Lasso,month,1.3543337654772691
ffill,Lasso,nao,5.0
ffill,Lasso,population,1.0508340831799998
ffill,Lasso,precip_mm,0.3775440890926149
ffill,Lasso,pressure_hpa,0.6422248659064674
ffill,Lasso,price_eur_kwh,0.7397633123791446
ffill,Lasso,sin1_ann,5.0
ffill,Lasso,sin2_ann,0.7701222861136958
ffill,Lasso,solar_energy_gwh,1.7460537567548964
ffill,Lasso,sunshine_h,0.7629131938938303
ffill,Lasso,temp_c,0.6547245749810724
ffill,Lasso,wind_energy_gwh,5.0
ffill,Lasso,wind_ms,3.100965100420462
