strategy,stage1_r2,resid_std,condition
OLS-All,0.8490815562767933,492.480446066033,with_fourier
Filter,0.8465662833633169,496.56743500260603,with_fourier
Ridge,0.8486107317534254,493.2480504184618,with_fourier
Lasso,0.8490815359551003,492.4804792231339,with_fourier
OLS-All,0.8060248832710102,558.3298451761855,no_fourier
Filter,0.7914092071897747,578.9824502348757,no_fourier
Ridge,0.8054963641396229,559.0899614179585,no_fourier
Lasso,0.8060248653668899,558.3298709434193,no_fourier
