condition,feature,mean_abs_shap_oos,surrogate_r2_oos
with_fourier,temp_c,119.35781860351562,0.3115554796584572
with_fourier,wind_ms,9.008528709411621,0.3115554796584572
with_fourier,precip_mm,9.903046607971191,0.3115554796584572
with_fourier,sunshine_h,31.494394302368164,0.3115554796584572
with_fourier,global_rad,39.95082092285156,0.3115554796584572
with_fourier,pressure_hpa,3.519335985183716,0.3115554796584572
with_fourier,humidity_pct,20.393142700195312,0.3115554796584572
with_fourier,cloudiness,8.043841361999512,0.3115554796584572
with_fourier,nao,11.606010437011719,0.3115554796584572
with_fourier,price_eur_kwh,16.380130767822266,0.3115554796584572
with_fourier,gdp_mln_eur,90.8316421508789,0.3115554796584572
with_fourier,population,146.6807098388672,0.3115554796584572
with_fourier,wind_energy_gwh,59.44123458862305,0.3115554796584572
with_fourier,solar_energy_gwh,57.52054977416992,0.3115554796584572
with_fourier,day_of_week,96.8047103881836,0.3115554796584572
with_fourier,month,10.031250953674316,0.3115554796584572
with_fourier,is_weekend,2.4790244102478027,0.3115554796584572
with_fourier,is_holiday,11.46688461303711,0.3115554796584572
with_fourier,sin1_ann,33.75820541381836,0.3115554796584572
with_fourier,cos1_ann,67.64840698242188,0.3115554796584572
with_fourier,sin2_ann,12.734074592590332,0.3115554796584572
with_fourier,cos2_ann,5.848548889160156,0.3115554796584572
no_fourier,temp_c,176.070068359375,0.10510480821834878
no_fourier,wind_ms,5.355940341949463,0.10510480821834878
no_fourier,precip_mm,6.430218696594238,0.10510480821834878
no_fourier,sunshine_h,30.914384841918945,0.10510480821834878
no_fourier,global_rad,80.6873779296875,0.10510480821834878
no_fourier,pressure_hpa,5.891619682312012,0.10510480821834878
no_fourier,humidity_pct,6.492547512054443,0.10510480821834878
no_fourier,cloudiness,11.704455375671387,0.10510480821834878
no_fourier,nao,23.45245361328125,0.10510480821834878
no_fourier,price_eur_kwh,10.390913009643555,0.10510480821834878
no_fourier,gdp_mln_eur,67.0959701538086,0.10510480821834878
no_fourier,population,204.95883178710938,0.10510480821834878
no_fourier,wind_energy_gwh,107.06695556640625,0.10510480821834878
no_fourier,solar_energy_gwh,54.94825744628906,0.10510480821834878
no_fourier,day_of_week,96.76995849609375,0.10510480821834878
no_fourier,month,53.3349609375,0.10510480821834878
no_fourier,is_weekend,2.205471992492676,0.10510480821834878
no_fourier,is_holiday,13.412935256958008,0.10510480821834878
