pair,horizon,n,m_overlap,nw_truncation,dm_abs,p_abs,dm_sq,p_sq,p_bootstrap,d_ac1,d_ac_max_to_m,d_mean_half1,d_mean_half2,p_abs_holm_within,p_abs_holm_joint,p_abs_hochberg_within,p_abs_hochberg_joint,p_abs_bh_within,p_abs_bh_joint,p_sq_holm_within,p_sq_holm_joint,p_sq_hochberg_within,p_sq_hochberg_joint,p_sq_bh_within,p_sq_bh_joint
Ridge vs Lasso,3,50,1,0,-0.9929,0.3256,-1.0592,0.2947,0.3224,0.119,0.119,-32.4,14.3,1.0,1.0,0.5478,0.9317,0.5214,0.5034,1.0,1.0,0.7258,0.8935,0.4355,0.4885
Ridge vs Lasso,7,50,1,0,0.7348,0.466,-0.2906,0.7726,0.4556,0.229,0.229,13.1,1.8,1.0,1.0,0.5478,0.9317,0.5478,0.6116,1.0,1.0,0.7726,0.8935,0.7726,0.8144
Ridge vs Lasso,30,50,2,1,-0.6053,0.5478,-0.9184,0.3629,0.567,0.367,0.367,-16.4,-0.1,1.0,1.0,0.5478,0.9317,0.5478,0.6703,1.0,1.0,0.7258,0.8935,0.4355,0.5256
Ridge vs Lasso,90,50,6,5,-0.9484,0.3476,-0.9438,0.3499,0.3976,0.411,0.411,-23.2,-13.4,1.0,1.0,0.5478,0.9317,0.5214,0.5034,1.0,1.0,0.7258,0.8935,0.4355,0.5248
Ridge vs Lasso,180,50,12,11,-1.5916,0.1179,-2.1589,0.0358,0.24,0.423,0.423,-21.7,-24.7,0.5928,1.0,0.5478,0.9317,0.3537,0.4323,0.2148,1.0,0.2148,0.8935,0.1857,0.413
Filter vs PCA,1,50,1,0,-0.7491,0.4574,-0.7773,0.4407,0.4568,0.108,0.108,-64.7,21.0,1.0,1.0,0.8677,0.9317,0.8677,0.6116,1.0,1.0,0.6956,0.8935,0.5288,0.5609
Filter vs PCA,3,50,1,0,-1.461,0.1504,-1.4181,0.1625,0.1296,0.135,0.135,-144.8,31.9,0.9024,1.0,0.8677,0.9317,0.8677,0.4323,0.975,1.0,0.6956,0.8935,0.5288,0.413
Filter vs PCA,7,50,1,0,0.1675,0.8677,0.3936,0.6956,0.8668,-0.062,0.062,-22.0,32.2,1.0,1.0,0.8677,0.9317,0.8677,0.9111,1.0,1.0,0.6956,0.8935,0.6956,0.7896
Filter vs PCA,30,50,2,1,0.3328,0.7407,0.8548,0.3968,0.7452,0.258,0.258,100.2,-64.2,1.0,1.0,0.8677,0.9317,0.8677,0.8408,1.0,1.0,0.6956,0.8935,0.5288,0.5376
Filter vs PCA,90,50,6,5,0.1749,0.8618,0.7781,0.4402,0.88,0.266,0.342,62.8,-44.7,1.0,1.0,0.8677,0.9317,0.8677,0.9111,1.0,1.0,0.6956,0.8935,0.5288,0.5609
Filter vs PCA,180,50,12,11,0.8945,0.3754,0.9939,0.3251,0.5088,0.37,0.37,75.0,31.5,1.0,1.0,0.8677,0.9317,0.8677,0.5256,1.0,1.0,0.6956,0.8935,0.5288,0.5057
PCA vs Ridge,1,50,1,0,1.0808,0.2851,1.0423,0.3024,0.274,0.154,0.154,75.6,-11.1,1.0,1.0,0.5586,0.9317,0.5091,0.4989,1.0,1.0,0.6048,0.8935,0.3629,0.4885
PCA vs Ridge,3,50,1,0,1.6997,0.0955,1.4827,0.1446,0.0932,0.16,0.16,148.8,-11.4,0.573,1.0,0.5586,0.9317,0.5091,0.4323,0.8676,1.0,0.6048,0.8935,0.3629,0.413
PCA vs Ridge,7,50,1,0,0.5889,0.5586,0.2867,0.7756,0.5596,-0.062,0.062,26.7,11.2,1.0,1.0,0.5586,0.9317,0.5586,0.6703,1.0,1.0,0.7756,0.8935,0.7756,0.8144
PCA vs Ridge,30,50,2,1,-0.6585,0.5133,-1.1705,0.2475,0.534,0.243,0.243,-126.9,52.1,1.0,1.0,0.5586,0.9317,0.5586,0.6533,1.0,1.0,0.6048,0.8935,0.3629,0.4466
PCA vs Ridge,90,50,6,5,-0.9647,0.3394,-1.2987,0.2001,0.385,0.26,0.363,-129.3,18.9,1.0,1.0,0.5586,0.9317,0.5091,0.5034,1.0,1.0,0.6048,0.8935,0.3629,0.413
PCA vs Ridge,180,50,12,11,-1.286,0.2045,-1.2868,0.2042,0.3262,0.471,0.471,-169.6,-34.4,1.0,1.0,0.5586,0.9317,0.5091,0.4772,1.0,1.0,0.6048,0.8935,0.3629,0.413
