strategy,r2_in_sample_test,r2_train_to_test,r2_train_in_sample,r2_tscv_mean,r2_tscv_std,r2_tscv_per_fold,total_abs_shap_in_sample,total_abs_shap_train_to_test
OLS-All,0.9600881668536241,0.361153513103317,0.8317636107291605,0.40345782998661806,0.3335174037781129,-0.1687;0.3021;0.4216;0.7732;0.6890,905.4143676757812,886.2451171875
Filter,0.964861802493371,0.3692107480374285,0.8287055778945259,0.3572540219452437,0.3629739671879868,-0.2496;0.1666;0.4810;0.7707;0.6177,973.9744262695312,860.1284790039062
PCA,0.9619271891730916,0.332542413971634,0.8600520587684714,0.4050332056764045,0.3734917048052533,-0.1903;0.1531;0.5328;0.8124;0.7171,942.7207641601562,1107.7635498046875
Ridge,0.9620149671246223,0.3115554796584572,0.8274017544685394,0.3669198468020719,0.3436710944537869,-0.1938;0.2086;0.3840;0.7653;0.6704,893.562255859375,864.9022216796875
Lasso,0.9611945823818646,0.3664634068142826,0.82889936053178,0.3886976438453565,0.34167971662277385,-0.1834;0.2541;0.4082;0.7617;0.7030,908.0457153320312,885.826904296875
