strategy,lag,acf,wn_band_95,exceeds_band
OLS-All,1,-0.013924354262593286,0.029955974859885964,False
OLS-All,2,0.05952490010293336,0.029955974859885964,True
OLS-All,3,-0.05256801480002986,0.029955974859885964,True
OLS-All,4,-0.027705134444926012,0.029955974859885964,False
OLS-All,5,-0.05600001482918632,0.029955974859885964,True
OLS-All,6,0.04082400137375942,0.029955974859885964,True
OLS-All,7,0.08251787477485224,0.029955974859885964,True
OLS-All,8,0.046333202240408856,0.029955974859885964,True
OLS-All,9,-0.05003161095767145,0.029955974859885964,True
OLS-All,10,0.01278188463386878,0.029955974859885964,False
OLS-All,11,-0.008066378875880038,0.029955974859885964,False
OLS-All,12,-0.039412421134187386,0.029955974859885964,True
OLS-All,13,0.02230842880216846,0.029955974859885964,False
OLS-All,14,-0.013759792965786305,0.029955974859885964,False
OLS-All,15,0.009316949483309833,0.029955974859885964,False
OLS-All,16,-0.005019006530556727,0.029955974859885964,False
OLS-All,17,-0.007145411241104493,0.029955974859885964,False
OLS-All,18,-0.01335080056354441,0.029955974859885964,False
OLS-All,19,0.007675558667361791,0.029955974859885964,False
OLS-All,20,-0.001954208857338577,0.029955974859885964,False
OLS-All,21,-0.014353175827721961,0.029955974859885964,False
OLS-All,22,-0.0036273347939550257,0.029955974859885964,False
OLS-All,23,-0.0024456328269834983,0.029955974859885964,False
OLS-All,24,-0.002606998834714772,0.029955974859885964,False
OLS-All,25,0.0005087629700540732,0.029955974859885964,False
OLS-All,26,0.00527215996055928,0.029955974859885964,False
OLS-All,27,-0.01776593563674126,0.029955974859885964,False
OLS-All,28,0.0029440520328454095,0.029955974859885964,False
OLS-All,365,0.06747600895905462,0.029955974859885964,True
Filter,1,-0.013819682798782375,0.029955974859885964,False
Filter,2,0.05895429246852725,0.029955974859885964,True
Filter,3,-0.05520797556742364,0.029955974859885964,True
Filter,4,-0.02587872285037989,0.029955974859885964,False
Filter,5,-0.05573390417938974,0.029955974859885964,True
Filter,6,0.04532436178738821,0.029955974859885964,True
Filter,7,0.08016822714808114,0.029955974859885964,True
Filter,8,0.04553323995113514,0.029955974859885964,True
Filter,9,-0.04541577890340457,0.029955974859885964,True
Filter,10,0.008325478136444705,0.029955974859885964,False
Filter,11,-0.010761179973620331,0.029955974859885964,False
Filter,12,-0.04520794705241163,0.029955974859885964,True
Filter,13,0.02242213348929158,0.029955974859885964,False
Filter,14,-0.008096598264544303,0.029955974859885964,False
Filter,15,0.008665226643205253,0.029955974859885964,False
Filter,16,-0.002938871188011746,0.029955974859885964,False
Filter,17,-0.009995283251877249,0.029955974859885964,False
Filter,18,-0.012154048205922405,0.029955974859885964,False
Filter,19,0.00433554017999411,0.029955974859885964,False
Filter,20,0.002130667741340554,0.029955974859885964,False
Filter,21,-0.015095410028068287,0.029955974859885964,False
Filter,22,-0.006550927423849658,0.029955974859885964,False
Filter,23,0.0012032409052277523,0.029955974859885964,False
Filter,24,-0.0004462916330257467,0.029955974859885964,False
Filter,25,0.002312243284782166,0.029955974859885964,False
Filter,26,0.0027137439075504816,0.029955974859885964,False
Filter,27,-0.015774094595569627,0.029955974859885964,False
Filter,28,0.0018691778963565932,0.029955974859885964,False
Filter,365,0.06801676322854465,0.029955974859885964,True
PCA,1,0.008179881329736169,0.029955974859885964,False
PCA,2,0.059171916666804505,0.029955974859885964,True
PCA,3,-0.05297889842684119,0.029955974859885964,True
PCA,4,-0.029910802908208287,0.029955974859885964,False
PCA,5,-0.055834358604287836,0.029955974859885964,True
PCA,6,0.04526939346594681,0.029955974859885964,True
PCA,7,0.07781682673126078,0.029955974859885964,True
PCA,8,0.05962283950083074,0.029955974859885964,True
PCA,9,-0.04680995556748786,0.029955974859885964,True
PCA,10,0.002606076711236544,0.029955974859885964,False
PCA,11,-0.009379658664102772,0.029955974859885964,False
PCA,12,-0.046214171418385186,0.029955974859885964,True
PCA,13,0.0182691626981903,0.029955974859885964,False
PCA,14,-0.00894968094989995,0.029955974859885964,False
PCA,15,0.014802282438423338,0.029955974859885964,False
PCA,16,-0.00414147264575932,0.029955974859885964,False
PCA,17,0.0007677604233818114,0.029955974859885964,False
PCA,18,-0.01255477567886586,0.029955974859885964,False
PCA,19,0.0009759751506520833,0.029955974859885964,False
PCA,20,0.0015400388472238743,0.029955974859885964,False
PCA,21,-0.019683947317494305,0.029955974859885964,False
PCA,22,-0.003625633950168149,0.029955974859885964,False
PCA,23,0.01007260211757666,0.029955974859885964,False
PCA,24,0.006687063270007874,0.029955974859885964,False
PCA,25,0.005506953200274763,0.029955974859885964,False
PCA,26,0.011578879487532018,0.029955974859885964,False
PCA,27,-0.013388820821097505,0.029955974859885964,False
PCA,28,-0.001780964190673529,0.029955974859885964,False
PCA,365,0.06570342413155594,0.029955974859885964,True
Ridge,1,0.02384787224923746,0.029955974859885964,False
Ridge,2,0.05080972493080113,0.029955974859885964,True
Ridge,3,-0.05903863159923221,0.029955974859885964,True
Ridge,4,-0.026003529249197677,0.029955974859885964,False
Ridge,5,-0.04826300140415536,0.029955974859885964,True
Ridge,6,0.04793335841888059,0.029955974859885964,True
Ridge,7,0.08947931989762188,0.029955974859885964,True
Ridge,8,0.05214526644102581,0.029955974859885964,True
Ridge,9,-0.037863229729454335,0.029955974859885964,True
Ridge,10,0.013138287972880355,0.029955974859885964,False
Ridge,11,-4.469721159688587e-05,0.029955974859885964,False
