strategy,window,feature,coef
Filter,train+val+test,gdp_mln_eur,417.57578875902
Filter,train+val+test,wind_energy_gwh,-155.49928143478598
Filter,train+val+test,solar_energy_gwh,-319.9623324128145
Filter,train+val+test,day_of_week,-4.949979802310936
Filter,train+val+test,month,-27.591603104184315
Filter,train+val+test,is_weekend,-1667.7267224207635
Filter,train+val+test,is_holiday,-1455.0607490413486
Filter,train+val+test,sin1_ann,-18.561894230533717
Filter,train+val+test,cos1_ann,573.4778546701682
Filter,train+val+test,sin2_ann,2.0748672883714976
Filter,train+val+test,cos2_ann,356.2280031253787
Ridge,train,temp_c,-82.61377478303211
Ridge,train,wind_ms,-6.250593271516929
Ridge,train,precip_mm,38.01408566424867
Ridge,train,sunshine_h,-109.97695000574873
Ridge,train,global_rad,1.6435428977850277
Ridge,train,pressure_hpa,-34.13661177370418
Ridge,train,humidity_pct,-26.717716631707738
Ridge,train,cloudiness,-20.299758474766147
Ridge,train,nao,47.13827931342337
Ridge,train,price_eur_kwh,-16.75811940244815
Ridge,train,gdp_mln_eur,346.80298123684014
Ridge,train,population,341.75776962706533
Ridge,train,wind_energy_gwh,-208.39090888848537
Ridge,train,solar_energy_gwh,-470.7063312679955
Ridge,train,day_of_week,-11.603498787457278
Ridge,train,month,-25.198259924736345
Ridge,train,is_weekend,-1735.0053047114393
Ridge,train,is_holiday,-1476.6950560177336
Ridge,train,sin1_ann,23.533964569927846
Ridge,train,cos1_ann,711.982766983373
Ridge,train,sin2_ann,-0.9083264793857648
Ridge,train,cos2_ann,300.20076017980085
Ridge,train+val,temp_c,-112.66674127365458
Ridge,train+val,wind_ms,-1.3295822920184457
Ridge,train+val,precip_mm,47.36762891441674
Ridge,train+val,sunshine_h,-127.58556276503532
Ridge,train+val,global_rad,-6.751161720998225
Ridge,train+val,pressure_hpa,-19.370257201561962
Ridge,train+val,humidity_pct,-8.64739975354983
Ridge,train+val,cloudiness,6.528274498118303
Ridge,train+val,nao,73.64398700497591
Ridge,train+val,price_eur_kwh,7.771008016295866
Ridge,train+val,gdp_mln_eur,-75.09387629634485
Ridge,train+val,population,664.0929448353354
Ridge,train+val,wind_energy_gwh,-260.36516283601884
Ridge,train+val,solar_energy_gwh,-351.29274094126896
Ridge,train+val,day_of_week,-11.651786646169306
Ridge,train+val,month,-26.394136927729665
Ridge,train+val,is_weekend,-1669.0510113302823
Ridge,train+val,is_holiday,-1397.1199509919916
Ridge,train+val,sin1_ann,32.07256073511592
Ridge,train+val,cos1_ann,692.1101135828151
Ridge,train+val,sin2_ann,21.874257880561107
Ridge,train+val,cos2_ann,255.3674960131275
Ridge,train+val+test,temp_c,-121.56882499732053
Ridge,train+val+test,wind_ms,12.05653810713754
Ridge,train+val+test,precip_mm,34.57194758225894
Ridge,train+val+test,sunshine_h,-167.5707321621241
Ridge,train+val+test,global_rad,44.36218610521406
Ridge,train+val+test,pressure_hpa,-26.591374271131404
Ridge,train+val+test,humidity_pct,20.292987298540144
Ridge,train+val+test,cloudiness,-22.027012289147837
Ridge,train+val+test,nao,89.8316614216794
Ridge,train+val+test,price_eur_kwh,44.7824862156879
Ridge,train+val+test,gdp_mln_eur,303.0822521653177
Ridge,train+val+test,population,162.16521738684546
Ridge,train+val+test,wind_energy_gwh,-155.17199465880964
Ridge,train+val+test,solar_energy_gwh,-317.52235739606834
Ridge,train+val+test,day_of_week,-11.66577240305517
Ridge,train+val+test,month,-27.117057997482146
Ridge,train+val+test,is_weekend,-1631.7206703745592
Ridge,train+val+test,is_holiday,-1375.3914824145118
Ridge,train+val+test,sin1_ann,-40.81995905772458
Ridge,train+val+test,cos1_ann,657.9362926721881
Ridge,train+val+test,sin2_ann,12.517633690538988
Ridge,train+val+test,cos2_ann,322.13078396684693
Lasso,train,temp_c,-79.19131780792334
Lasso,train,precip_mm,35.30988529413327
Lasso,train,sunshine_h,-99.38302540087905
Lasso,train,global_rad,40.66497890620282
Lasso,train,pressure_hpa,-31.964550543913795
Lasso,train,nao,46.74255734906588
Lasso,train,gdp_mln_eur,303.3988753905755
Lasso,train,population,397.06604141377636
Lasso,train,wind_energy_gwh,-216.80871519218232
Lasso,train,solar_energy_gwh,-476.0847541409559
Lasso,train,day_of_week,-2.2025282551898604
Lasso,train,month,-23.690193231258913
Lasso,train,is_weekend,-1786.2789773342154
Lasso,train,is_holiday,-1604.922617603861
Lasso,train,sin1_ann,29.244444363102648
Lasso,train,cos1_ann,747.5327831157492
Lasso,train,sin2_ann,0.865424519540276
Lasso,train,cos2_ann,291.8065211822348
Lasso,train+val,temp_c,-107.05747652066509
Lasso,train+val,precip_mm,47.35028874391861
Lasso,train+val,sunshine_h,-146.9207581101165
Lasso,train+val,global_rad,25.832795912318787
Lasso,train+val,pressure_hpa,-19.79596574363736
Lasso,train+val,nao,71.28316263325169
Lasso,train+val,gdp_mln_eur,-69.16764024033736
Lasso,train+val,population,661.8523052012747
Lasso,train+val,wind_energy_gwh,-261.87924742006163
Lasso,train+val,solar_energy_gwh,-351.33583484857917
Lasso,train+val,day_of_week,-4.331050985632278
Lasso,train+val,month,-26.90300046001369
Lasso,train+val,is_weekend,-1709.7136178218263
Lasso,train+val,is_holiday,-1500.3109940257768
Lasso,train+val,sin1_ann,38.49046191067593
Lasso,train+val,cos1_ann,724.1593834027609
Lasso,train+val,sin2_ann,21.275844056418567
Lasso,train+val,cos2_ann,255.134237456643
Lasso,train+val+test,temp_c,-118.13628413264928
Lasso,train+val+test,precip_mm,38.404618891594126
