comparison,n,W,p_raw,median_diff,mean_diff,sd_diff,cohens_d,r_rank_biserial,effect_magnitude_label,p_holm_across_pairs,significant_holm_5pct
OLS-All vs Ridge,22,88.0,0.2221074104309082,0.25299251024333025,0.33789223307263855,1.7324116961696843,0.19504153303727353,0.30434782608695654,negligible,0.8884296417236328,False
OLS-All vs Filter,20,97.0,0.7841262817382812,-0.00833238028340099,0.39102476133822595,1.3967922399695991,0.27994482654538266,-0.07619047619047614,small,1.0,False
Filter vs Ridge,20,93.0,0.6742229461669922,0.1177134652526563,-0.020372315802110314,1.305707317587768,-0.015602513310369735,0.11428571428571432,negligible,1.0,False
Filter vs Lasso,16,67.0,0.979949951171875,0.008246291910401955,-0.299949212799743,1.0758442382357898,-0.2788035685273652,0.014705882352941124,small,1.0,False
Ridge vs Lasso,18,51.0,0.14151763916015625,-0.22560807459757357,-0.5085788804680623,1.717848444431848,-0.2960557330400977,-0.4035087719298246,small,0.7075881958007812,False
